Budget,Gross,Release Date,Runtime,Rating,Rating Count,Net Profit,ROI,Genre_Frequency,MPAA Rating_G,MPAA Rating_PG,MPAA Rating_PG-13,MPAA Rating_R,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Comedy,Genre_Crime,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Mystery,Genre_Romance,Genre_Science Fiction,Genre_Thriller,Genre_War,Genre_Western
-1.2844377207258093,296000000.0,10,-1.1006065332136827,-1.1462697175772185,-0.8315118906994426,288500000.0,38.46666666666667,0.0512820512820512,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-1.2844377207258093,145793296.0,12,-0.8321139423425811,0.5499133054965287,-0.7761426341521694,138293296.0,18.439106133333333,0.1854043392504931,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-1.1915297556210827,71079915.0,7,-0.7873651771973975,0.3237555690866955,-0.7750630019203593,58079915.0,4.467685769230769,0.0315581854043392,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-1.1746373983293141,161001698.0,12,1.2263292543358646,0.3237555690866955,-0.7750630019203593,147001698.0,10.500121285714286,0.0157790927021696,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-1.1577450410375456,84431625.0,4,-0.47412382118111224,0.6629921737014448,-0.7423977761302692,69431625.0,4.628775,0.1104536489151873,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-1.1577450410375456,79258538.0,8,-0.7873651771973975,0.09759783267686235,-0.8187436518638296,64258538.0,4.283902533333333,0.0552268244575936,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-1.1408526837457773,92800000.0,7,-0.9663602377781318,0.7760710419063609,-0.49100541095328465,76800000.0,4.8,0.0512820512820512,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-1.1340957408290697,235860116.0,6,0.5103490120129269,1.3414653829309433,0.14766373732965535,219460116.0,13.381714390243902,0.1104536489151873,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-1.0732832545787032,126297830.0,7,0.28660518628700893,0.09759783267686235,-0.9324003473731806,106297830.0,5.3148915,0.1854043392504931,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.9888214681198608,227853986.0,7,-0.16088246516482707,0.3237555690866955,-0.5835171916637429,202853986.0,8.11415944,0.1854043392504931,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.9719291108280924,160200000.0,12,-0.07138493487445986,-0.12855990373297083,-0.921661182055587,134200000.0,5.161538461538462,0.1854043392504931,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.9550367535363239,71320000.0,12,-0.9216114726329483,0.7760710419063609,-0.6344726576162631,44320000.0,1.6414814814814815,0.1499013806706114,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.8705749670774815,222724172.0,6,-1.1006065332136827,-0.6939542447575533,-0.6446656560401174,190724172.0,5.960130375,0.0552268244575936,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-0.819897895202176,411348924.0,6,0.37610271657737615,0.6629921737014448,-0.050750439154623586,376348924.0,10.7528264,0.1499013806706114,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
